iter	Passed	Remaining
182	42001	239844
183	42195	239415
184	42417	239143
185	42633	238841
186	42836	238462
187	43011	237933
188	43236	237688
189	43424	237232
190	43606	236756
191	43784	236254
192	43967	235786
193	44150	235316
194	44328	234825
195	44499	234301
196	44692	233900
197	44880	233468
198	45055	232977
199	45225	232460
200	45412	232033
201	45565	231436
202	45900	231762
203	46277	232297
204	46532	232206
205	46752	231948
206	46965	231650
207	47151	231224
208	47333	230778
209	47515	230337
210	47705	229937
211	47916	229637
212	48142	229409
213	48399	229333
214	48630	229129
215	48831	228782
216	49028	228422
217	49233	228099
218	49424	227714
219	49602	227271
220	49806	226947
221	50012	226631
222	50201	226243
223	50397	225890
224	50607	225596
225	50810	225274
226	51005	224920
227	51216	224632
228	51398	224224
229	51597	223890
230	51816	223642
231	52005	223265
232	52471	224073
233	52697	223853
234	52940	223703
235	53079	223114
236	53290	222830
237	53502	222551
238	53679	222131
239	53921	221975
240	54231	222103
241	54605	222483
242	54914	222596
243	55173	222504
244	55412	222326
245	55665	222208
246	55889	221973
247	56124	221783
248	56357	221582
249	56568	221294
250	56783	221026
251	56936	220514
252	57138	220197
253	57339	219876
254	57523	219491
255	57699	219078
256	57881	218690
257	58116	218499
258	58371	218387
259	58882	219223
260	59144	219129
261	59485	219323
262	59717	219115
263	59931	218839
264	60144	218564
265	60570	219055
266	60787	218790
267	60982	218446
268	61215	218235
269	61539	218349
270	61869	218484
271	62211	218655
272	62460	218496
273	62665	218187
274	62906	218000
275	63147	217811
276	63401	217671
277	63686	217635
278	63947	217511
279	64199	217359
280	64391	217004
281	64638	216838
282	64885	216667
283	65091	216360
284	65346	216217
285	65551	215908
286	65804	215757
287	65973	215328
288	66123	214842
289	66263	214327
290	66466	214016
291	66679	213738
292	67385	215035
293	67773	215307
294	68112	215418
295	68449	215524
296	68640	215164
297	68832	214813
298	69047	214530
299	69267	214268
300	69498	214037
301	69701	213720
302	69877	213322
303	70077	212998
304	70307	212767
305	70514	212465
306	70706	212120
307	70936	211888
308	71067	211362
309	71434	211537
310	71770	211620
311	71994	211369
312	72214	211105
313	72445	210876
314	72649	210568
315	72869	210306
316	73088	210043
317	73304	209770
318	73507	209462
319	73721	209185
320	73926	208883
321	74116	208537
322	74351	208320
323	74569	208058
324	74789	207798
325	74962	207411
326	75152	207072
327	75346	206743
328	75542	206420
329	75746	206122
330	75924	205753
331	76132	205466
332	76338	205173
333	76568	204945
334	76767	204637
335	76944	204268
336	77176	204049
337	77334	203631
338	77426	203044
339	77661	202832
340	77855	202515
341	77968	201989
342	78137	201607
343	78341	201318
344	78518	200961
345	78739	200718
346	78971	200502
347	79181	200229
348	79366	199895
349	79838	200279
350	80193	200368
351	80458	200231
352	80682	199991
353	80896	199726
354	81121	199489
355	81310	199165
356	81521	198893
357	81863	198941
358	82180	198926
359	82370	198603
360	82608	198397
361	82867	198240
362	83072	197954
363	83297	197717
364	83527	197490
365	83755	197260
366	83977	197014
367	84209	196793
368	84400	196476
369	84583	196141
370	84789	195860
371	84973	195529
372	85149	195182
373	85328	194841
374	85520	194531
375	85692	194175
376	85894	193889
377	86025	193443
378	86365	193468
