iter	Logloss
177	0.475577679
178	0.4752125216
179	0.4749586936
180	0.4747487373
181	0.4745817176
182	0.4743566142
183	0.4741566452
184	0.4739981714
185	0.4737898574
186	0.473573088
187	0.4734556612
188	0.4732991347
189	0.4731008205
190	0.4729570436
191	0.4726797771
192	0.472513468
193	0.4722709886
194	0.4720876672
195	0.4719553875
196	0.471822574
197	0.4717059162
198	0.4715910726
199	0.4714469544
200	0.4712767647
201	0.4710552107
202	0.4708900748
203	0.4707111746
204	0.4705659997
205	0.4704003514
206	0.4703321429
207	0.4701426083
208	0.4699347882
209	0.469636364
210	0.4694669598
211	0.4693386853
212	0.4692438097
213	0.4691416274
214	0.4689208018
215	0.4686926376
216	0.468587619
217	0.4684363597
218	0.4682322134
219	0.4681137658
220	0.4679767056
221	0.4678444666
222	0.4677527493
223	0.4675893339
224	0.4673851936
225	0.4672387812
226	0.4669409188
227	0.4668694872
228	0.4667461024
229	0.466577989
230	0.4664446627
231	0.4662466507
232	0.4661034155
233	0.4659560019
234	0.4657471432
235	0.4656106791
236	0.4654335634
237	0.4652657886
238	0.4651325787
239	0.4649515437
240	0.4648766887
241	0.464679775
242	0.4644734456
243	0.4643631721
244	0.4641796319
245	0.4640686835
246	0.4639185009
247	0.4638212979
248	0.4635552158
249	0.4633885342
250	0.4632886704
251	0.4632293801
252	0.4630807124
253	0.4629077347
254	0.4627881718
255	0.4626860687
256	0.4625037829
257	0.4623389165
258	0.4621923517
259	0.4620483762
260	0.4619559404
261	0.4618114654
262	0.461765519
263	0.461618244
264	0.4615638592
265	0.461344731
266	0.4612548801
267	0.4611091706
268	0.4610361593
269	0.4609455728
270	0.460804283
271	0.4605619251
272	0.4604563141
273	0.4603478746
274	0.4601972476
275	0.4600465398
276	0.4599180787
277	0.4597454837
278	0.4596494913
279	0.4595133351
280	0.4594231388
281	0.4593107533
282	0.4592319539
283	0.459207979
284	0.4590386444
285	0.4588604623
286	0.4586465607
287	0.4585999106
288	0.4585818935
289	0.4584525297
290	0.4582948102
291	0.4582451452
292	0.4581717552
293	0.4580171566
294	0.4578503575
295	0.4577152335
296	0.4575503798
297	0.45734815
298	0.4571286387
299	0.4570142305
300	0.4569471731
301	0.4568091735
302	0.4567733625
303	0.4566131213
304	0.4565181711
305	0.4564337034
306	0.4562937503
307	0.4562016052
308	0.4561876809
309	0.4561414513
310	0.4560756652
311	0.4559791736
312	0.4558229635
313	0.4557745775
314	0.4556078315
315	0.4553977804
316	0.4552312204
317	0.454988885
318	0.4549343283
319	0.4548169999
320	0.4547347529
321	0.4546158868
322	0.4545270782
323	0.4543997251
324	0.454199297
325	0.4541693757
326	0.4540407682
327	0.4539552927
328	0.453866175
329	0.4537918524
330	0.4536010114
331	0.4534337517
332	0.4532968032
333	0.4531823615
334	0.453094474
335	0.4529817906
336	0.4527050823
337	0.4526274362
338	0.4526273835
339	0.4525292241
340	0.4524609254
341	0.452409617
342	0.452329481
343	0.4522659002
344	0.452136061
345	0.4519949027
346	0.4518882236
347	0.4517753746
348	0.4515913512
349	0.4513735075
350	0.4512996455
351	0.4511684599
352	0.451025554
353	0.450805676
354	0.4507892736
355	0.4507440757
356	0.4506795121
357	0.4505117387
358	0.450472373
359	0.4503046156
360	0.4501929099
361	0.45009397
362	0.4499813617
363	0.4498587203
364	0.4496580605
365	0.4495368883
366	0.4493996124
367	0.4492954538
368	0.4492573749
369	0.449235157
370	0.4491656045
371	0.4490556185
372	0.4489032085
373	0.4488697903
374	0.4488117727
375	0.4486991721
376	0.4485669046
377	0.4485551153
378	0.4484415513
